Time,Price
10:04:07,1897
10:04:08,1897.5
10:04:11,1896.5
10:04:12,1896.5
10:04:14,1897
10:04:17,1897
10:04:18,1897.5
10:04:20,1897.5
10:04:25,1897.5
10:04:27,1897
10:04:29,1897.5
10:04:31,1897.5
10:04:32,1897
10:04:35,1897.5
10:04:36,1897.5
10:04:38,1897
10:04:40,1897.5
10:04:43,1897.5
10:04:45,1896.5
10:04:46,1897
10:04:49,1897
10:04:51,1897
10:04:52,1897
10:04:54,1897.5
10:04:58,1897.5
10:04:59,1897.5
10:05:01,1897
10:05:04,1897.5
10:05:06,1898
10:05:08,1898
10:05:09,1898
10:05:11,1898.5
10:05:14,1899
10:05:15,1899
10:05:17,1899
10:05:19,1899
10:05:21,1899
10:05:23,1899
10:05:25,1899
10:05:27,1899
10:05:29,1899
10:05:32,1899.5
10:05:33,1899.5
10:05:36,1898.5
10:05:38,1898.5
10:05:39,1898.5
10:05:40,1898
10:05:44,1898.5
10:05:45,1898.5
10:05:48,1898.5
10:05:50,1899
10:05:51,1899
10:05:53,1899
10:05:58,1898.5
10:05:59,1898.5
10:06:00,1899
10:06:05,1899
10:06:06,1899
10:06:08,1900
10:06:10,1899.5
10:06:13,1899.5
10:06:14,1899.5
10:06:16,1899.5
10:06:18,1899
10:06:20,1899.5
10:06:22,1899.5
10:06:24,1900
10:06:25,1900
10:06:27,1900
10:06:30,1900.5
10:06:31,1900.5
10:06:34,1901
10:06:35,1901
10:06:39,1901
10:06:40,1901
10:06:42,1901
10:06:44,1901.5
10:06:46,1901.5
10:06:48,1901
10:06:51,1901.5
10:06:53,1901.5
10:06:54,1901.5
10:06:56,1901
10:06:57,1901.5
10:07:01,1900.5
10:07:02,1900.5
10:07:05,1901
10:07:06,1901
10:07:09,1901
10:07:10,1901
10:07:12,1901
10:07:14,1901
10:07:16,1900.5
10:07:19,1900.5
10:07:21,1901
10:07:23,1900.5
10:07:24,1901.5
10:07:27,1901
10:07:29,1900
10:07:31,1900.5
10:07:34,1900
10:07:38,1899.5
10:07:40,1900
10:07:41,1900
10:07:43,1900
10:07:45,1900
10:07:48,1900
10:07:49,1900
10:07:51,1900
10:07:53,1900
10:07:57,1900
10:07:58,1900
10:08:01,1900
10:08:02,1900
10:08:04,1900
10:08:06,1900
10:08:08,1900
10:08:10,1900
10:08:12,1900
10:08:14,1900.5
10:08:15,1900.5
10:08:19,1900.5
10:08:20,1900.5
10:08:23,1901
10:08:26,1901
10:08:28,1901
10:08:29,1901
10:08:31,1901
10:08:33,1901
10:08:35,1900.5
10:08:37,1901
10:08:38,1900.5
10:08:42,1900.5
10:08:43,1901
10:08:45,1900.5
10:08:47,1900.5
10:08:48,1901
10:08:52,1901
10:08:53,1901
10:08:55,1901
10:08:58,1901
10:09:00,1901
10:09:01,1901
10:09:04,1901
10:09:06,1901
10:09:09,1900.5
10:09:12,1901
10:09:15,1900.5
10:09:17,1900.5
10:09:19,1901
10:09:21,1901
10:09:22,1901
10:09:24,1901
10:09:29,1901.5
10:09:30,1901
10:09:31,1901.5
10:09:34,1901
10:09:36,1901
10:09:40,1901
10:09:42,1900.5
10:09:45,1901
10:09:50,1900.5
10:09:52,1901
10:09:55,1900.5
10:09:57,1900.5
10:09:59,1900
10:10:00,1900
10:10:03,1900.5
10:10:05,1900.5
10:10:07,1900.5
10:10:10,1901
10:10:11,1901
10:10:14,1900
10:10:15,1900
10:10:18,1900
10:10:21,1900.5
10:10:23,1900.5
10:10:26,1901
10:10:28,1901
10:10:29,1901
10:10:31,1901
10:10:33,1900.5
10:10:36,1901
10:10:40,1901
10:10:43,1901
10:10:44,1901
10:10:49,1900.5
10:10:50,1900
10:10:53,1900.5
10:10:56,1900
10:10:57,1900
10:11:00,1900.5
10:11:02,1900
10:11:04,1900
10:11:05,1900.5
10:11:06,1900
10:11:09,1900
10:11:10,1900
10:11:14,1900
10:11:15,1899.5
10:11:17,1899
10:11:19,1899.5
10:11:20,1900
10:11:24,1899.5
10:11:26,1899
10:11:28,1899.5
10:11:30,1899.5
10:11:32,1899.5
10:11:34,1899.5
10:11:38,1899.5
10:11:41,1899
10:11:42,1899.5
10:11:44,1899
10:11:46,1899.5
10:11:47,1899.5
10:11:51,1899
10:11:52,1899
10:11:54,1898.5
10:11:55,1898.5
10:11:59,1899
10:12:01,1899
10:12:04,1899
10:12:07,1899
10:12:08,1899
10:12:10,1899.5
10:12:12,1899
10:12:14,1899.5
10:12:18,1899.5
10:12:20,1899
10:12:22,1899.5
10:12:24,1899
10:12:28,1899.5
10:12:30,1900
10:12:33,1900
10:12:34,1900
10:12:35,1900.5
10:12:39,1900.5
10:12:40,1900.5
10:12:43,1901
10:12:46,1900.5
10:12:47,1900.5
10:12:54,1901
10:12:55,1900.5
10:12:57,1901
10:13:01,1901.5
10:13:05,1901.5
10:13:07,1901
10:13:08,1901.5
10:13:13,1902
10:13:15,1902
10:13:16,1900.5
10:13:20,1901
10:13:22,1901
10:13:26,1901
10:13:29,1901
10:13:31,1901
10:13:33,1900.5
10:13:37,1901
10:13:38,1901
10:13:42,1901
10:13:44,1901
10:13:46,1901
10:13:48,1901
10:13:53,1901
10:13:55,1901
10:13:59,1901.5
10:14:00,1901
10:14:01,1901
10:14:11,1901
10:14:13,1900.5
10:14:18,1900
10:14:19,1900
10:14:20,1900.5
10:14:25,1900.5
10:14:28,1900
10:14:29,1900.5
10:14:31,1900
10:14:32,1900
10:14:35,1900.5
10:14:37,1900.5
10:14:39,1899.5
10:14:41,1900
10:14:44,1899.5
10:14:45,1900
10:14:50,1900
10:14:51,1900
10:14:54,1901
10:14:56,1900.5
10:14:58,1901
10:15:00,1900.5
10:15:02,1900.5
10:15:06,1900.5
10:15:07,1900
10:15:11,1900.5
10:15:13,1900
10:15:15,1900.5
10:15:16,1900.5
10:15:17,1900
10:15:19,1900
10:15:23,1900
10:15:26,1900.5
10:15:31,1901
10:15:34,1901
10:15:37,1901
10:15:42,1901
10:15:44,1901
10:15:45,1901.5
10:15:48,1901.5
10:15:49,1901
10:15:50,1901.5
10:15:54,1901
10:15:56,1901
10:15:57,1901
10:16:00,1901.5
10:16:01,1901
10:16:06,1901
10:16:14,1901
10:16:16,1901
10:16:17,1901
10:16:20,1901
10:16:22,1901
10:16:24,1901
10:16:25,1901
10:16:28,1901
10:16:31,1901.5
10:16:37,1901.5
10:16:42,1901.5
10:16:43,1901.5
10:16:45,1901.5
10:16:47,1901.5
10:16:50,1901.5
10:16:51,1901.5
10:16:53,1902
10:16:55,1901.5
10:16:57,1902
10:16:59,1902
10:17:04,1902
10:17:07,1901.5
10:17:10,1901
10:17:11,1901.5
10:17:12,1901.5
10:17:16,1901.5
10:17:20,1901.5
10:17:21,1901.5
10:17:25,1901
10:17:26,1901.5
10:17:28,1901.5
10:17:31,1902
10:17:33,1902
10:17:35,1901.5
10:17:37,1902
10:17:38,1901.5
10:17:42,1902
10:17:46,1901.5
10:17:49,1902
10:17:50,1901.5
10:17:51,1902
